pubmed	haspdf	year	journal
22860215	1	2012	ACS Chem Neurosci
22860225	1	2012	ACS Chem Neurosci
23336056	1	2013	ACS Chem Neurosci
25393953	1	2015	ACS Chem Neurosci
25642596	1	2015	ACS Chem Neurosci
25776827	1	2015	ACS Chem Neurosci
27627626	1	2016	ACS Infect Dis
21444326	1	2011	Acta Biochim Biophys Sin (Shanghai)
23196134	1	2013	Acta Biochim Biophys Sin (Shanghai)
21409183	1	2011	Acta Biochim Pol
20124700	1	2010	Acta Crystallogr D Biol Crystallogr
23027737	1	2012	Acta Crystallogr Sect F Struct Biol Cryst Commun
19608221	1	2010	Acta Histochem
19853285	1	2011	Acta Histochem
19853894	1	2011	Acta Histochem
20817268	1	2011	Acta Histochem
21855964	1	2012	Acta Histochem
22178118	1	2012	Acta Histochem
22818426	1	2013	Acta Histochem
24063863	1	2014	Acta Histochem
27432806	1	2016	Acta Histochem
27863708	1	2017	Acta Histochem
20514292	1	2010	Acta Histochem Cytochem
22685353	1	2012	Acta Histochem Cytochem
20198480	1	2010	Acta Neuropathol
21681521	1	2011	Acta Neuropathol
21983942	1	2011	Acta Neuropathol
22730000	1	2012	Acta Neuropathol
22961620	1	2013	Acta Neuropathol
23099891	1	2013	Acta Neuropathol
23820808	1	2013	Acta Neuropathol
25394388	1	2015	Acta Neuropathol
25862635	1	2015	Acta Neuropathol
26197969	1	2015	Acta Neuropathol
26437864	1	2015	Acta Neuropathol
26951213	1	2016	Acta Neuropathol
29116375	1	2018	Acta Neuropathol
26041339	1	2015	Acta Neuropathol Commun
26108367	1	2015	Acta Neuropathol Commun
26408000	1	2015	Acta Neuropathol Commun
27193190	1	2016	Acta Neuropathol Commun
29132416	1	2017	Acta Neuropathol Commun
29448957	1	2018	Acta Neuropathol Commun
29855382	1	2018	Acta Neuropathol Commun
21793640	1	2012	Acta Odontol Scand
21241365	1	2011	Acta Paediatr
19694625	1	2010	Acta Physiol (Oxf)
19796257	1	2010	Acta Physiol (Oxf)
19832729	1	2010	Acta Physiol (Oxf)
24034272	1	2014	Acta Physiol (Oxf)
25545736	1	2015	Acta Physiol (Oxf)
27421685	1	2016	Acta Physiol (Oxf)
27609637	1	2016	Acta Trop
27686960	1	2016	Acta Trop
20002022	1	2010	Addict Biol
21054685	1	2011	Addict Biol
21309945	1	2011	Addict Biol
24118405	1	2015	Addict Biol
28436559	1	2018	Addict Biol
23700511	1	2012	Adipocyte
25068087	1	2014	Adipocyte
24309248	1	2014	Adv Biol Regul
21153307	1	2011	Adv Exp Med Biol
21290301	1	2011	Adv Exp Med Biol
22183357	1	2012	Adv Exp Med Biol
22183407	1	2012	Adv Exp Med Biol
24664723	1	2014	Adv Exp Med Biol
24664738	1	2014	Adv Exp Med Biol
26427409	1	2016	Adv Exp Med Biol
26915270	1	2016	Adv Genet
25705109	1	2015	Adv Genomics Genet
27422518	1	2016	Adv Nutr
24054139	1	2013	Adv Pharmacol
25207199	1	2014	Adv Wound Care (New Rochelle)
28593200	1	2016	Afr J Cell Pathol
25651884	1	2015	Age (Dordr)
22210149	1	2012	Ageing Res Rev
21076177	1	2010	Aging (Albany NY)
21212461	1	2010	Aging (Albany NY)
21566258	1	2011	Aging (Albany NY)
22291164	1	2012	Aging (Albany NY)
23833031	1	2013	Aging (Albany NY)
24481314	1	2014	Aging (Albany NY)
25239873	1	2014	Aging (Albany NY)
26974211	1	2016	Aging (Albany NY)
26977590	1	2016	Aging (Albany NY)
28260693	1	2017	Aging (Albany NY)
19878144	1	2010	Aging Cell
20047575	1	2010	Aging Cell
20156205	1	2010	Aging Cell
20222901	1	2010	Aging Cell
20409077	1	2010	Aging Cell
20726853	1	2010	Aging Cell
20735370	1	2010	Aging Cell
20854421	1	2010	Aging Cell
20883524	1	2010	Aging Cell
20961378	1	2010	Aging Cell
20961389	1	2010	Aging Cell
21040401	1	2011	Aging Cell
21070590	1	2011	Aging Cell
21108731	1	2011	Aging Cell
21176092	1	2011	Aging Cell
21241452	1	2011	Aging Cell
21255222	1	2011	Aging Cell
